Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
No,"Water/Juices,Drinks",Drinks,Water/Juices,,,,,,,,,,,,No,,Yes,Pizza
Yes,"Global Market,Grill,Water/Juices,Drinks",Grill,Global Market,Drinks,Water/Juices,,,,,,,,,,No,,Yes,"Grill,Pizza"
Yes,"Family Meal,Global Market,Salad Bar,Water/Juices,Drinks,Fruit",Family Meal,Global Market,Salad Bar,Fruit,Water/Juices,Drinks,,,,,,,,Yes,"Grill,Pizza",Yes,
No,"Special,Salad Bar",Special,Salad Bar,,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Pizza,Gluten Free,Water/Juices,",Water/Juices,Gluten Free,Pizza,Family Meal,,,,,,,,,,No,,No,
No,"Grill,Water/Juices,Fruit",Grill,Fruit,Water/Juices,,,,,,,,,,,No,,No,
No,"Grill,Pizza,Water/Juices",Grill,Water/Juices,Pizza,,,,,,,,,,,Yes,Family Meal,No,
No,"Family Meal,Grill,Drinks",Family Meal,Grill,Drinks,,,,,,,,,,,No,,No,
No,"Family Meal,Grill,Salad Bar",Grill,Family Meal,Salad Bar,,,,,,,,,,,Yes,"Family Meal,Grill,Salad Bar",Yes,"Family Meal,Grill,Salad Bar"
Yes,"Family Meal,Global Market,Grill,Salad Bar,Water/Juices",Salad Bar,Grill,Family Meal,Global Market,Water/Juices,,,,,,,,,No,,No,
Yes,"Family Meal,Global Market,Grill,Water/Juices",Water/Juices,Family Meal,Global Market,Grill,,,,,,,,,,No,,Yes,Water/Juices
No,Pizza,Pizza,,,,,,,,,,,,,No,,Yes,Drinks
Yes,"Global Market,Pizza",Pizza,Global Market,,,,,,,,,,,,No,,Yes,"Salad Bar,Water/Juices,Deli"
Yes,"Grill,Special,Salad Bar,Drinks",Special,Salad Bar,Grill,Drinks,,,,,,,,,,No,,No,
Yes,"Grill,Pizza,Salad Bar",Pizza,Grill,Salad Bar,,,,,,,,,,,No,,Yes,Salad Bar
Yes,"Global Market,Grill,Special,Salad Bar,Water/Juices",Salad Bar,Global Market,Grill,Special,Water/Juices,,,,,,,,,Yes,"Family Meal,Kosher",Yes,"Grill,Water/Juices"
Yes,"Grill,Drinks",Grill,Drinks,,,,,,,,,,,,No,,Yes,Grill
Yes,"Pizza,Gluten Free,Soups",Gluten Free,Soups,Pizza,,,,,,,,,,,No,,No,
Yes,"Grill,Special,Salad Bar",Special,Grill,Salad Bar,,,,,,,,,,,Yes,Family Meal,Yes,Grill
Yes,Grill,Grill,,,,,,,,,,,,,Yes,Special,Yes,"Grill,Drinks"
No,"Global Market,Water/Juices,",Global Market,Water/Juices,Drinks,,,,,,,,,,,No,,No,
Yes,"Global Market,Grill,Special",Special,Grill,Global Market,,,,,,,,,,,No,,Yes,Drinks
Yes,"Vegan,Soups,Salad Bar,Drinks",Salad Bar,Vegan,Soups,Drinks,,,,,,,,,,No,,Yes,Fruit
Yes,"Family Meal,Grill,Pizza,Vegan,Drinks,Bread",Vegan,Family Meal,Drinks,Bread,Grill,Pizza,,,,,,,,Yes,"Grill,Water/Juices,Fruit",No,
Yes,"Grill,Soups,Salad Bar",Grill,Salad Bar,Soups,,,,,,,,,,,No,,Yes,Drinks
Yes,Global Market,Global Market,,,,,,,,,,,,,No,,Yes,Special
Yes,"Gluten Free,Salad Bar,Water/Juices",Salad Bar,Gluten Free,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Global Market,Pizza,Special,Salad Bar,Drinks,Fruit",Salad Bar,Special,Global Market,Drinks,Fruit,Pizza,,,,,,,,Yes,"Family Meal,Salad Bar,Water/Juices",Yes,"Family Meal,Global Market,Soups,Salad Bar"
Yes,"Global Market,Grill,Special",Grill,Global Market,Special,,,,,,,,,,,Yes,Pizza,Yes,Pizza
No,"Family Meal,Global Market,Grill,Fruit,",Global Market,Family Meal,Fruit,Grill,,,,,,,,,,Yes,Global Market,Yes,Water/Juices
No,"Family Meal,Grill,Pizza",Pizza,Grill,Family Meal,,,,,,,,,,,No,,No,
No,"Family Meal,Water/Juices,",Family Meal,Water/Juices,,,,,,,,,,,,No,,No,
Yes,"Gluten Free,Vegan,",Vegan,Gluten Free,,,,,,,,,,,,Yes,Family Meal,No,
Yes,"Family Meal,Global Market,Pizza,Gluten Free,Drinks",Global Market,Family Meal,Pizza,Gluten Free,Drinks,,,,,,,,,No,,Yes,"Drinks,Fruit,"
No,"Global Market,Grill,Pizza,Fruit",Grill,Global Market,Pizza,Fruit,,,,,,,,,,No,,Yes,Fruit
Yes,"Pizza,Special",Special,Pizza,,,,,,,,,,,,Yes,Family Meal,Yes,"Global Market,Salad Bar,"
No,"Family Meal,Pizza",Family Meal,Pizza,,,,,,,,,,,,Yes,Grill,Yes,Family Meal
Yes,"Family Meal,Soups,Salad Bar,Deli",Family Meal,Deli,Salad Bar,Soups,,,,,,,,,,No,,No,
Yes,"Global Market,Soups,Drinks,Fruit",Global Market,Soups,Drinks,Fruit,,,,,,,,,,No,,Yes,Fruit
Yes,"Family Meal,Global Market,Special,Drinks,Fruit,",Family Meal,Global Market,Special,Fruit,Drinks,,,,,,,,,No,,No,
